name	smarts	keep_atoms	add_atoms	protected_smiles	cleaved_smiles	decoys	policy	decoy_scope
diol_13_acetone	[O;D2;y0;r6;+0:1]1-;@[C;D4;y2;z1;+0]([C;D1;+0])([C;D1;+0])-[O;D2;y0;+0:2][C;+0:3][C;+0:4]!#[C;+0:5]1	[1,2,3,4,5]	[]	CC1CCOC(C)(C)O1	CC(O)CCO	[]	conservative	per_rule
hydroxyl_amine_acetone	[O;D2;y0;r5;+0:1]1-;@[C;D4;y2;z1;+0]([C;D1;+0])([C;D1;+0])-[N;z1;+0:2][C;+0:3]!#[C;+0:4]1	[1,2,3,4]	[]	CC1CN(C(C)=O)C(C)(C)O1	CC(O)CNC(C)=O	[]	conservative	per_rule
diol_12_formalin	[O;D2;y0;r5;+0:1]1-;@[C;D2;y2;z1;+0]-[O;D2;y0;+0:2][C;+0:3]!#[C;+0:4]1	[1,2,3,4]	[]	CC1COCO1	CC(O)CO	[]	conservative	per_rule
diol_13_formalin	[O;D2;y0;r6;+0:1]1-;@[C;D2;y2;z1;+0]-[O;D2;y0;+0:2][C;+0:3][C;+0:4]!#[C;+0:5]1	[1,2,3,4,5]	[]	CC1CCOCO1	CC(O)CCO	[]	conservative	per_rule
diol_12_cyclopentanone	[O;D2;y0;r5;+0:1]1-;@[C;D4;y2;z1;+0]2([C;D2;y0;z1;+0][C;D2;y0;z1;+0][C;D2;y0;z1;+0][C;D2;y0;z1;+0]2)-[O;D2;y0;+0:2][C;+0:3]!#[C;+0:4]1	[1,2,3,4]	[]	CC1COC2(CCCC2)O1	CC(O)CO	[]	conservative	per_rule
diol_13_cyclopentanone	[O;D2;y0;r6;+0:1]1-;@[C;D4;y2;z1;+0]2([C;D2;y0;z1;+0][C;D2;y0;z1;+0][C;D2;y0;z1;+0][C;D2;y0;z1;+0]2)-[O;D2;y0;+0:2][C;+0:3][C;+0:4]!#[C;+0:5]1	[1,2,3,4,5]	[]	CC1CCOC2(CCCC2)O1	CC(O)CCO	[]	conservative	per_rule
diol_12_cyclohexanone	[O;D2;y0;r5;+0:1]1-;@[C;D4;y2;z1;+0]2([C;D2;y0;z1;+0][C;D2;y0;z1;+0][C;D2;y0;z1;+0][C;D2;y0;z1;+0][C;D2;y0;z1;+0]2)-[O;D2;y0;+0:2][C;+0:3]!#[C;+0:4]1	[1,2,3,4]	[]	CC1COC2(CCCCC2)O1	CC(O)CO	[]	conservative	per_rule
diol_13_cyclohexanone	[O;D2;y0;r6;+0:1]1-;@[C;D4;y2;z1;+0]2([C;D2;y0;z1;+0][C;D2;y0;z1;+0][C;D2;y0;z1;+0][C;D2;y0;z1;+0][C;D2;y0;z1;+0]2)-[O;D2;y0;+0:2][C;+0:3][C;+0:4]!#[C;+0:5]1	[1,2,3,4,5]	[]	CC1CCOC2(CCCCC2)O1	CC(O)CCO	[]	conservative	per_rule
diol_12_diacetal	[O;D2;y0;r6;+0:1]1-;@[C;D4;y2;z1;+0]([O;D2;y0;+0][C;D1;+0])([C;D1;+0])[C;D4;y2;z1;+0]([O;D2;y0;+0][C;D1;+0])([C;D1;+0])-[O;D2;y0;+0:2][C;+0:3]!#[C;+0:4]1	[1,2,3,4]	[]	COC1(C)OCC(C)OC1(C)OC	CC(O)CO	[]	conservative	per_rule
diol_13_diacetal	[O;D2;y0;r7;+0:1]1-;@[C;D4;y2;z1;+0]([O;D2;y0;+0][C;D1;+0])([C;D1;+0])[C;D4;y2;z1;+0]([O;D2;y0;+0][C;D1;+0])([C;D1;+0])-[O;D2;y0;+0:2][C;+0:3][C;+0:4]!#[C;+0:5]1	[1,2,3,4,5]	[]	COC1(C)OCCC(C)OC1(C)OC	CC(O)CCO	[]	conservative	per_rule
diol_12_benzylidene	[O;D2;y0;r5;+0:1]1-;@[C;D3;y2;z1;+0]([C;a;r6;+0]:2:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:2)-[O;D2;y0;+0:2][C;+0:3]!#[C;+0:4]1	[1,2,3,4]	[]	CC1COC(O1)c1ccccc1	CC(O)CO	[]	conservative	per_rule
diol_13_benzylidene	[O;D2;y0;r6;+0:1]1-;@[C;D3;y2;z1;+0]([C;a;r6;+0]:2:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:2)-[O;D2;y0;+0:2][C;+0:3][C;+0:4]!#[C;+0:5]1	[1,2,3,4,5]	[]	CC1CCOC(O1)c1ccccc1	CC(O)CCO	[]	conservative	per_rule
carbonyl_dithiolane	[C;D3,D4;z1;y2;r5;+0:1]1[S;D2;y0;z1;+0][C;D2;y1;z1;+0][C;D2;y1;z1;+0][S;D2;y0;z1;+0]1	[1]	"[[1,""O"",2]]"	CC1SCCS1	CC=O	[]	conservative	per_rule
carbonyl_dithiane	[C;D3,D4;z1;y2;r6;+0:1]1[S;D2;y0;z1;+0][C;D2;y1;z1;+0][C;D2;y0;z1;+0][C;D2;y1;z1;+0][S;D2;y0;z1;+0]1	[1]	"[[1,""O"",2]]"	CC1SCCCS1	CC=O	[]	conservative	per_rule
carbonyl_dimethylsulfide	[C;D3,D4;z1;y2;+0:1](-;!@[S;D2;+0][C;D1;+0])-;!@[S;D2;+0][C;D1;+0]	[1]	"[[1,""O"",2]]"	CSC(CC)SC	CCC=O	[]	conservative	per_rule
carbonyl_dioxolane	[C;D3,D4;z1;y2;r5;+0:1]1[O;D2;y0;+0][C;D2;y1;z1;+0][C;D2;y1;z1;+0][O;D2;y0;+0]1	[1]	"[[1,""O"",2]]"	CC1OCCO1	CC=O	[]	conservative	per_rule
carbonyl_dioxane	[C;D3,D4;z1;y2;r6;+0:1]1[O;D2;y0;+0][C;D2;y1;z1;+0][C;D2;y0;z1;+0][C;D2;y1;z1;+0][O;D2;y0;+0]1	[1]	"[[1,""O"",2]]"	CC1OCCCO1	CC=O	[]	conservative	per_rule
carbonyl_dimethoxy	[C;D3,D4;z1;y2;+0:1](-;!@[O;D2;y0;+0][C;D1;+0])-;!@[O;D2;y0;+0][C;D1;+0]	[1]	"[[1,""O"",2]]"	COC(C)OC	CC=O	[]	conservative	per_rule
