rule_name	reaction_class	smarts	atoms_to_keep	atoms_to_add	protected_example	cleaved_example	decoys	h2o	bases	nucleophiles	electrophiles	reduction	oxidation	p_mol
amine_mtt	amine	[N;D2,D3:1]-;!@[C;D4;z1;x1](-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D3;x0]([C;D1]):[C;D2]:[C;D2]:1)(-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:1)-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:1	[1]	[]	CC(C)NC(c1ccccc1)(c1ccccc1)c1ccc(C)cc1	CC(C)N	[]	None	None	None	None	None	None	Cc1ccc(C(Cl)(c2ccccc2)c2ccccc2)cc1
amine_nosyl	amine	[N;D2,D3:1]-;!@[S;D4;x3](=O)(=O)-[C;a;r6]:1:[C;D3;x1]([N+](=O)[O-]):[C;D2]:[C;D2]:[C;D2]:[C;D2]:1	[1]	[]	[O-][N+](=O)c1ccccc1S(=O)(=O)Nc1ccccc1	c1ccccc1N	[]	None	None	None	None	None	None	O=S(=O)(Cl)c1ccccc1[N+](=O)[O-]
amine_pbf	amine	[N;D2,D3:1]-;!@[S;D4;x3](=O)(=O)-[C;a;r6]:1:[C;D3;x0]([C;D1]):[C;D3;x0]([C;D1]):[C;D3;x1]:2-[O;D2;x0;r5][C;D4;x1]([C;D1])([C;D1])[C;D2;x0;z1][C;D3]:2:[C;D3;x0]([C;D1]):1	[1]	[]	CN(C)S(=O)(=O)c1c(C)c2CC(C)(C)Oc2c(C)c1C	CNC	[]	None	None	None	None	None	None	Cc1c(C)c2OC(C)(C)Cc2c(C)c1S(=O)(=O)Cl
amine_phenylsulfonyl	amine	[N;D2,D3:1]-;!@[S;D4;x3](=O)(=O)-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:1	[1]	[]	c1ccccc1S(=O)(=O)Nc1ccccc1	c1ccccc1N	[]	None	None	None	None	None	None	O=S(=O)(Cl)c1ccccc1
amine_phth	amine	[N;D3:1]1[C;z2;x2;D3](=O)[C;a;r6]:2:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D3]:2[C;z2;x2;D3]1=O	[1]	[]	O=C1c2ccccc2C(=O)N1Cc1ccccc1	NCc1ccccc1	[]	{'pH < 1, 100°C': 1, 'pH = 1, RT': 0, 'pH = 4, RT': 0, 'pH = 9, RT': 0, 'pH = 12, RT': 1, 'pH > 12, 100°C': 2}	{'LDA': 0, 'NEt3, Py': 0, 't-BuOK': 0, 'DCC': 0, 'SOCl2': 0}	{'RLi': 2, 'RMgX': 1, 'RCuLi': 0, 'Enolates': 0, 'NH3, RNH2': 2, 'NaOCH3': 0}	{'RCOCl': 0, 'RCHO': 0, 'CH3I': 0, ':CCl2': 0, 'Bu3SnH': 0}	{'H2 / Ni': 0, 'H2 / Rh': 2, 'Zn / HCl': 0, 'Na / NH3': 2, 'LiAlH4': 2, 'NaBH4': 0}	{'KMnO4': 0, 'OsO4': 0, 'CrO3 / Py': 0, 'RCOOOH': 0, 'I2, Br2, Cl2': 0, 'MnO2 / CH2Cl2': 0}	O=C1OC(=O)c2ccccc12
amine_sem	amine	[N;D2,D3:1]-;!@[C;D2;x2;z1][O;D2;x0]-[C;D2;z1;x1][C;D2;x1;z1][Si;D4;z1;x0]([C;D1])([C;D1])[C;D1]	[1]	[]	CN(C)COCC[Si](C)(C)C	CNC	[]	None	None	None	None	None	None	ClCOCC[Si](C)(C)C
amine_sulfinyl	amine	[N;D2,D3:1]-;!@[S;D3;x2;z2](=O)[C;D4;x1;z1]([C;D1])([C;D1])[C;D1]	[1]	[]	c1ccccc1NS(=O)C(C)(C)C	c1ccccc1N	[]	None	None	None	None	None	None	CC(C)(C)S(=O)Cl
amine_tbu	amine	[N;D2,D3:1]-;!@[C;D4;x1;z1]([C;D1])([C;D1])[C;D1]	[1]	[]	c1ccccc1NC(C)(C)C	c1ccccc1N	[]	None	None	None	None	None	None	CC(C)(C)Cl
amine_teoc	amine	[N;D2,D3:1]-;!@[C;z2;x3](=O)[O;D2;x0]-[C;D2;z1;x1][C;D2;x1;z1][Si;D4;z1;x0]([C;D1])([C;D1])[C;D1]	[1]	[]	c1ccccc1NC(=O)OCC[Si](C)(C)C	c1ccccc1N	[]	None	None	None	None	None	None	C[Si](C)(C)CCOC(=O)Cl
amine_tfa	amine	[N;D2,D3:1]-;!@[C;z2;x2](=O)-[C;D4;z1;x3](F)(F)F	[1]	[]	CNC(=O)C(F)(F)F	CN	[]	{'pH < 1, 100°C': 2, 'pH = 1, RT': 0, 'pH = 4, RT': 0, 'pH = 9, RT': 1, 'pH = 12, RT': 2, 'pH > 12, 100°C': 2}	{'LDA': 0, 'NEt3, Py': 0, 't-BuOK': 0, 'DCC': 0, 'SOCl2': 0}	{'RLi': 2, 'RMgX': 1, 'RCuLi': 1, 'Enolates': 2, 'NH3, RNH2': 2, 'NaOCH3': 2}	{'RCOCl': 0, 'RCHO': 0, 'CH3I': 0, ':CCl2': 0, 'Bu3SnH': 2}	{'H2 / Ni': 2, 'H2 / Rh': 0, 'Zn / HCl': 2, 'Na / NH3': 2, 'LiAlH4': 2, 'NaBH4': 2}	{'KMnO4': 0, 'OsO4': 0, 'CrO3 / Py': 0, 'RCOOOH': 0, 'I2, Br2, Cl2': 0, 'MnO2 / CH2Cl2': 0}	O=C(C(F)(F)F)OC(=O)C(F)(F)F
amine_thp	amine	[N;D2,D3:1]-;!@[C;D3;x2;z1;r6]1[O;D2][C;D2][C;D2][C;D2][C;D2]1	[1]	[]	c1cn(C2CCCCO2)nc1	c1c[nH]nc1	[]	None	None	None	None	None	None	C1=CCCCO1
amine_tosyl	amine	[N;D2,D3:1]-;!@[S;D4;x3](=O)(=O)-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D3;x0]([C;D1]):[C;D2]:[C;D2]:1	[1]	[]	Cc1ccc(cc1)S(=O)(=O)Nc1ccccc1	c1ccccc1N	[]	{'pH < 1, 100°C': 2, 'pH = 1, RT': 0, 'pH = 4, RT': 0, 'pH = 9, RT': 0, 'pH = 12, RT': 0, 'pH > 12, 100°C': 0}	{'LDA': 0, 'NEt3, Py': 0, 't-BuOK': 0, 'DCC': 0, 'SOCl2': 0}	{'RLi': 2, 'RMgX': 2, 'RCuLi': 0, 'Enolates': 0, 'NH3, RNH2': 0, 'NaOCH3': 0}	{'RCOCl': 0, 'RCHO': 0, 'CH3I': 0, ':CCl2': 0, 'Bu3SnH': 0}	{'H2 / Ni': 0, 'H2 / Rh': 0, 'Zn / HCl': 2, 'Na / NH3': 2, 'LiAlH4': 0, 'NaBH4': 0}	{'KMnO4': 0, 'OsO4': 0, 'CrO3 / Py': 0, 'RCOOOH': 0, 'I2, Br2, Cl2': 0, 'MnO2 / CH2Cl2': 0}	Cc1ccc(S(=O)(=O)Cl)cc1
amine_tritil	amine	[N;D2,D3:1]-;!@[C;D4;z1;x1](-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:1)(-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:1)-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:1	[1]	[]	CC(C)NC(c1ccccc1)(c1ccccc1)c1ccccc1	CC(C)N	[]	{'pH < 1, 100°C': 2, 'pH = 1, RT': 2, 'pH = 4, RT': 1, 'pH = 9, RT': 0, 'pH = 12, RT': 0, 'pH > 12, 100°C': 0}	{'LDA': 0, 'NEt3, Py': 0, 't-BuOK': 0, 'DCC': 0, 'SOCl2': 0}	{'RLi': 0, 'RMgX': 0, 'RCuLi': 0, 'Enolates': 0, 'NH3, RNH2': 0, 'NaOCH3': 0}	{'RCOCl': 0, 'RCHO': 0, 'CH3I': 2, ':CCl2': 0, 'Bu3SnH': 0}	{'H2 / Ni': 2, 'H2 / Rh': 0, 'Zn / HCl': 2, 'Na / NH3': 2, 'LiAlH4': 0, 'NaBH4': 0}	{'KMnO4': 2, 'OsO4': 2, 'CrO3 / Py': 2, 'RCOOOH': 2, 'I2, Br2, Cl2': 0, 'MnO2 / CH2Cl2': 2}	ClC(c1ccccc1)(c1ccccc1)c1ccccc1
amine_troc	amine	[N;D2,D3:1]-;!@[C;z2;x3](=O)[O;D2;x0]-[C;D2][C;D4;x3]([Cl;D1])([Cl;D1])[Cl;D1]	[1]	[]	c1ccccc1NC(=O)OCC(Cl)(Cl)Cl	c1ccccc1N	"[""c1ccccc1NC(=O)OC(C)C(Cl)(Cl)Cl""]"	None	None	None	None	None	None	O=C(Cl)OCC(Cl)(Cl)Cl
carbonyl_dimethoxy	carbonyl	[C;D3,D4;z1;x2:1](-;!@[O;D2;x0][C;D1])-;!@[O;D2;x0][C;D1]	[1]	"[[1,""O"",2]]"	COC(C)OC	CC=O	[]	{'pH < 1, 100°C': 2, 'pH = 1, RT': 2, 'pH = 4, RT': 0, 'pH = 9, RT': 0, 'pH = 12, RT': 0, 'pH > 12, 100°C': 0}	{'LDA': 0, 'NEt3, Py': 0, 't-BuOK': 0, 'DCC': 0, 'SOCl2': 0}	{'RLi': 0, 'RMgX': 0, 'RCuLi': 0, 'Enolates': 0, 'NH3, RNH2': 0, 'NaOCH3': 0}	{'RCOCl': 0, 'RCHO': 0, 'CH3I': 0, ':CCl2': 0, 'Bu3SnH': 0}	{'H2 / Ni': 0, 'H2 / Rh': 0, 'Zn / HCl': 2, 'Na / NH3': 0, 'LiAlH4': 0, 'NaBH4': 0}	{'KMnO4': 0, 'OsO4': 0, 'CrO3 / Py': 0, 'RCOOOH': 0, 'I2, Br2, Cl2': 0, 'MnO2 / CH2Cl2': 0}	CO.CO
carbonyl_dimethylsulfide	carbonyl	[C;D3,D4;z1;x2:1](-;!@[S;D2][C;D1])-;!@[S;D2][C;D1]	[1]	"[[1,""O"",2]]"	CSC(CC)SC	CCC=O	[]	None	None	None	None	None	None	CS.CS
carbonyl_dioxane	carbonyl	[C;D3,D4;z1;x2;r6:1]1[O;D2;x0][C;D2;x1;z1][C;D2;x0;z1][C;D2;x1;z1][O;D2;x0]1	[1]	"[[1,""O"",2]]"	CC1OCCCO1	CC=O	[]	{'pH < 1, 100°C': 2, 'pH = 1, RT': 2, 'pH = 4, RT': 1, 'pH = 9, RT': 0, 'pH = 12, RT': 0, 'pH > 12, 100°C': 0}	{'LDA': 0, 'NEt3, Py': 0, 't-BuOK': 0, 'DCC': 0, 'SOCl2': 0}	{'RLi': 0, 'RMgX': 0, 'RCuLi': 0, 'Enolates': 0, 'NH3, RNH2': 0, 'NaOCH3': 0}	{'RCOCl': 0, 'RCHO': 0, 'CH3I': 0, ':CCl2': 0, 'Bu3SnH': 0}	{'H2 / Ni': 0, 'H2 / Rh': 0, 'Zn / HCl': 2, 'Na / NH3': 0, 'LiAlH4': 0, 'NaBH4': 0}	{'KMnO4': 0, 'OsO4': 0, 'CrO3 / Py': 0, 'RCOOOH': 0, 'I2, Br2, Cl2': 1, 'MnO2 / CH2Cl2': 0}	OCCCO
carbonyl_dioxolane	carbonyl	[C;D3,D4;z1;x2;r5:1]1[O;D2;x0][C;D2;x1;z1][C;D2;x1;z1][O;D2;x0]1	[1]	"[[1,""O"",2]]"	CC1OCCO1	CC=O	[]	{'pH < 1, 100°C': 2, 'pH = 1, RT': 2, 'pH = 4, RT': 1, 'pH = 9, RT': 0, 'pH = 12, RT': 0, 'pH > 12, 100°C': 0}	{'LDA': 0, 'NEt3, Py': 0, 't-BuOK': 0, 'DCC': 0, 'SOCl2': 0}	{'RLi': 0, 'RMgX': 0, 'RCuLi': 0, 'Enolates': 0, 'NH3, RNH2': 0, 'NaOCH3': 0}	{'RCOCl': 0, 'RCHO': 0, 'CH3I': 0, ':CCl2': 0, 'Bu3SnH': 0}	{'H2 / Ni': 0, 'H2 / Rh': 0, 'Zn / HCl': 2, 'Na / NH3': 0, 'LiAlH4': 0, 'NaBH4': 0}	{'KMnO4': 0, 'OsO4': 0, 'CrO3 / Py': 0, 'RCOOOH': 0, 'I2, Br2, Cl2': 1, 'MnO2 / CH2Cl2': 0}	OCCO
carbonyl_dithiane	carbonyl	[C;D3,D4;z1;x2;r6:1]1[S;D2;x0;z1][C;D2;x1;z1][C;D2;x0;z1][C;D2;x1;z1][S;D2;x0;z1]1	[1]	"[[1,""O"",2]]"	CC1SCCCS1	CC=O	[]	{'pH < 1, 100°C': 2, 'pH = 1, RT': 1, 'pH = 4, RT': 0, 'pH = 9, RT': 0, 'pH = 12, RT': 0, 'pH > 12, 100°C': 1}	{'LDA': 0, 'NEt3, Py': 0, 't-BuOK': 0, 'DCC': 0, 'SOCl2': 0}	{'RLi': 0, 'RMgX': 0, 'RCuLi': 0, 'Enolates': 0, 'NH3, RNH2': 0, 'NaOCH3': 0}	{'RCOCl': 0, 'RCHO': 0, 'CH3I': 2, ':CCl2': 0, 'Bu3SnH': 0}	{'H2 / Ni': 2, 'H2 / Rh': 2, 'Zn / HCl': 0, 'Na / NH3': 2, 'LiAlH4': 0, 'NaBH4': 0}	{'KMnO4': 2, 'OsO4': 0, 'CrO3 / Py': 0, 'RCOOOH': 2, 'I2, Br2, Cl2': 2, 'MnO2 / CH2Cl2': 1}	SCCCS
carbonyl_dithiolane	carbonyl	[C;D3,D4;z1;x2;r5:1]1[S;D2;x0;z1][C;D2;x1;z1][C;D2;x1;z1][S;D2;x0;z1]1	[1]	"[[1,""O"",2]]"	CC1SCCS1	CC=O	[]	{'pH < 1, 100°C': 2, 'pH = 1, RT': 1, 'pH = 4, RT': 0, 'pH = 9, RT': 0, 'pH = 12, RT': 0, 'pH > 12, 100°C': 1}	{'LDA': 0, 'NEt3, Py': 0, 't-BuOK': 0, 'DCC': 0, 'SOCl2': 0}	{'RLi': 0, 'RMgX': 0, 'RCuLi': 0, 'Enolates': 0, 'NH3, RNH2': 0, 'NaOCH3': 0}	{'RCOCl': 0, 'RCHO': 0, 'CH3I': 2, ':CCl2': 0, 'Bu3SnH': 0}	{'H2 / Ni': 2, 'H2 / Rh': 2, 'Zn / HCl': 0, 'Na / NH3': 2, 'LiAlH4': 0, 'NaBH4': 0}	{'KMnO4': 2, 'OsO4': 0, 'CrO3 / Py': 0, 'RCOOOH': 2, 'I2, Br2, Cl2': 2, 'MnO2 / CH2Cl2': 1}	SCCS
carbonyl_nn_dimethylhydrazone	carbonyl	[C;D2,D3;z2;x1:1]=;!@[N;D2]-;!@[N;D3]([C;D1])[C;D1]	[1]	"[[1,""O"",2]]"	CC=NN(C)C	CC=O	[]	{'pH < 1, 100°C': 2, 'pH = 1, RT': 0, 'pH = 4, RT': 0, 'pH = 9, RT': 0, 'pH = 12, RT': 0, 'pH > 12, 100°C': 2}	{'LDA': 2, 'NEt3, Py': 0, 't-BuOK': 0, 'DCC': 0, 'SOCl2': 0}	{'RLi': 0, 'RMgX': 0, 'RCuLi': 0, 'Enolates': 0, 'NH3, RNH2': 2, 'NaOCH3': 0}	{'RCOCl': 0, 'RCHO': 0, 'CH3I': 2, ':CCl2': 2, 'Bu3SnH': 0}	{'H2 / Ni': 2, 'H2 / Rh': 2, 'Zn / HCl': 2, 'Na / NH3': 0, 'LiAlH4': 2, 'NaBH4': 0}	{'KMnO4': 2, 'OsO4': 0, 'CrO3 / Py': 2, 'RCOOOH': 2, 'I2, Br2, Cl2': 2, 'MnO2 / CH2Cl2': 1}	CN(C)N
carboxyl__oxazoline	carboxyl	[C;D3;z2;x2:1]1=[N;D2][C;D2][C;D2][O;D2]1	[1]	"[[1,""O"",2],[1,""O"",1]]"	CC1=NCCO1	CC(=O)O	[]	{'pH < 1, 100°C': 2, 'pH = 1, RT': 1, 'pH = 4, RT': 0, 'pH = 9, RT': 0, 'pH = 12, RT': 0, 'pH > 12, 100°C': 2}	{'LDA': 0, 'NEt3, Py': 0, 't-BuOK': 0, 'DCC': 0, 'SOCl2': 0}	{'RLi': 0, 'RMgX': 0, 'RCuLi': 0, 'Enolates': 0, 'NH3, RNH2': 0, 'NaOCH3': 0}	{'RCOCl': 2, 'RCHO': 0, 'CH3I': 2, ':CCl2': 0, 'Bu3SnH': 0}	{'H2 / Ni': 2, 'H2 / Rh': 2, 'Zn / HCl': 2, 'Na / NH3': 2, 'LiAlH4': 0, 'NaBH4': 0}	{'KMnO4': 2, 'OsO4': 2, 'CrO3 / Py': 0, 'RCOOOH': 2, 'I2, Br2, Cl2': 2, 'MnO2 / CH2Cl2': 0}	NCCO
carboxyl_benzyl	carboxyl	[C;D3;z2;x2:1](=[O;D1:2])-;!@[O;D2;x0][C;D2;z1;x1]-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:1	[1,2]	"[[1,""O"",1]]"	CC(=O)OCc1ccccc1	CC(=O)O	[]	{'pH < 1, 100°C': 2, 'pH = 1, RT': 0, 'pH = 4, RT': 0, 'pH = 9, RT': 0, 'pH = 12, RT': 2, 'pH > 12, 100°C': 2}	{'LDA': 0, 'NEt3, Py': 0, 't-BuOK': 0, 'DCC': 0, 'SOCl2': 0}	{'RLi': 2, 'RMgX': 2, 'RCuLi': 0, 'Enolates': 2, 'NH3, RNH2': 1, 'NaOCH3': 2}	{'RCOCl': 0, 'RCHO': 0, 'CH3I': 0, ':CCl2': 0, 'Bu3SnH': 0}	{'H2 / Ni': 2, 'H2 / Rh': 0, 'Zn / HCl': 0, 'Na / NH3': 2, 'LiAlH4': 2, 'NaBH4': 0}	{'KMnO4': 0, 'OsO4': 0, 'CrO3 / Py': 0, 'RCOOOH': 0, 'I2, Br2, Cl2': 0, 'MnO2 / CH2Cl2': 0}	BrCc1ccccc1
carboxyl_boc	carboxyl	[C;D3;z2;x2:1](=[O;D1:2])-;!@[O;D2;x0][C;D4;x1;z1]([C;D1])([C;D1])[C;D1]	[1,2]	"[[1,""O"",1]]"	CC(=O)OC(C)(C)C	CC(=O)O	[]	{'pH < 1, 100°C': 2, 'pH = 1, RT': 2, 'pH = 4, RT': 0, 'pH = 9, RT': 0, 'pH = 12, RT': 1, 'pH > 12, 100°C': 2}	{'LDA': 0, 'NEt3, Py': 0, 't-BuOK': 0, 'DCC': 0, 'SOCl2': 0}	{'RLi': 2, 'RMgX': 2, 'RCuLi': 0, 'Enolates': 0, 'NH3, RNH2': 0, 'NaOCH3': 0}	{'RCOCl': 0, 'RCHO': 0, 'CH3I': 0, ':CCl2': 0, 'Bu3SnH': 0}	{'H2 / Ni': 0, 'H2 / Rh': 0, 'Zn / HCl': 2, 'Na / NH3': 2, 'LiAlH4': 2, 'NaBH4': 0}	{'KMnO4': 0, 'OsO4': 0, 'CrO3 / Py': 0, 'RCOOOH': 1, 'I2, Br2, Cl2': 0, 'MnO2 / CH2Cl2': 0}	CC(C)(C)O
carboxyl_methoxy	carboxyl	[C;D3;z2;x2:1](=[O;D1:2])-;!@[O;D2;x0][C;D1]	[1,2]	"[[1,""O"",1]]"	CC(=O)OC	CC(=O)O	[]	{'pH < 1, 100°C': 2, 'pH = 1, RT': 1, 'pH = 4, RT': 0, 'pH = 9, RT': 0, 'pH = 12, RT': 2, 'pH > 12, 100°C': 2}	{'LDA': 0, 'NEt3, Py': 0, 't-BuOK': 0, 'DCC': 0, 'SOCl2': 0}	{'RLi': 2, 'RMgX': 2, 'RCuLi': 0, 'Enolates': 2, 'NH3, RNH2': 1, 'NaOCH3': 0}	{'RCOCl': 0, 'RCHO': 0, 'CH3I': 0, ':CCl2': 0, 'Bu3SnH': 0}	{'H2 / Ni': 0, 'H2 / Rh': 0, 'Zn / HCl': 0, 'Na / NH3': 2, 'LiAlH4': 2, 'NaBH4': 0}	{'KMnO4': 0, 'OsO4': 0, 'CrO3 / Py': 0, 'RCOOOH': 0, 'I2, Br2, Cl2': 0, 'MnO2 / CH2Cl2': 0}	CO
carboxyl_s_boc	carboxyl	[C;D3;z2;x2:1](=[O;D1:2])-;!@[S;D2;x0][C;D4;x1;z1]([C;D1])([C;D1])[C;D1]	[1,2]	"[[1,""O"",1]]"	CC(=O)SC(C)(C)C	CC(=O)O	[]	{'pH < 1, 100°C': 2, 'pH = 1, RT': 1, 'pH = 4, RT': 0, 'pH = 9, RT': 0, 'pH = 12, RT': 0, 'pH > 12, 100°C': 2}	{'LDA': 0, 'NEt3, Py': 0, 't-BuOK': 0, 'DCC': 0, 'SOCl2': 0}	{'RLi': 2, 'RMgX': 2, 'RCuLi': 2, 'Enolates': 2, 'NH3, RNH2': 2, 'NaOCH3': 2}	{'RCOCl': 0, 'RCHO': 0, 'CH3I': 0, ':CCl2': 1, 'Bu3SnH': 0}	{'H2 / Ni': 2, 'H2 / Rh': 2, 'Zn / HCl': 2, 'Na / NH3': 2, 'LiAlH4': 2, 'NaBH4': 0}	{'KMnO4': 2, 'OsO4': 0, 'CrO3 / Py': 0, 'RCOOOH': 1, 'I2, Br2, Cl2': 2, 'MnO2 / CH2Cl2': 0}	CC(C)(C)S
carboxyl_trioxabicyclooctane	carboxyl	[C;D4;x3;r6:1]12-;@[O;D2][C;D2;x1;z1][C;D4;x0;z1]([C;D1])([C;D2;x1;z1][O;D2]1)[C;D2;x1;z1][O;D2]2	[1]	"[[1,""O"",2],[1,""O"",1]]"	CC(C)C12OCC(C)(CO1)CO2	CC(C)C(O)=O	"[""CC(C)C12OCC(CC)(CO1)CO2"",""CC(C)C12OC(C)C(C)(CO1)CO2""]"	None	None	None	None	None	None	CC(CO)(CO)CO
diol_12_acetone	diol	[O;D2;x0;r5:1]1-;@[C;D4;x2;z1]([C;D1])([C;D1])-[O;D2;x0:2][C:3]!#[C:4]1	[1,2,3,4]	[]	CC1COC(C)(C)O1	CC(O)CO	[]	{'pH < 1, 100°C': 2, 'pH = 1, RT': 2, 'pH = 4, RT': 1, 'pH = 9, RT': 0, 'pH = 12, RT': 0, 'pH > 12, 100°C': 0}	{'LDA': 0, 'NEt3, Py': 0, 't-BuOK': 0, 'DCC': 0, 'SOCl2': 0}	{'RLi': 0, 'RMgX': 0, 'RCuLi': 0, 'Enolates': 0, 'NH3, RNH2': 0, 'NaOCH3': 0}	{'RCOCl': 0, 'RCHO': 0, 'CH3I': 0, ':CCl2': 0, 'Bu3SnH': 0}	{'H2 / Ni': 0, 'H2 / Rh': 0, 'Zn / HCl': 2, 'Na / NH3': 0, 'LiAlH4': 0, 'NaBH4': 0}	{'KMnO4': 0, 'OsO4': 0, 'CrO3 / Py': 0, 'RCOOOH': 0, 'I2, Br2, Cl2': 0, 'MnO2 / CH2Cl2': 0}	CC(=O)C
diol_12_benzylidene	diol	[O;D2;x0;r5:1]1-;@[C;D3;x2;z1]([C;a;r6]:2:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:2)-[O;D2;x0:2][C:3]!#[C:4]1	[1,2,3,4]	[]	CC1COC(O1)c1ccccc1	CC(O)CO	[]	{'pH < 1, 100°C': 2, 'pH = 1, RT': 2, 'pH = 4, RT': 1, 'pH = 9, RT': 0, 'pH = 12, RT': 0, 'pH > 12, 100°C': 1}	{'LDA': 0, 'NEt3, Py': 0, 't-BuOK': 0, 'DCC': 0, 'SOCl2': 0}	{'RLi': 0, 'RMgX': 0, 'RCuLi': 0, 'Enolates': 0, 'NH3, RNH2': 0, 'NaOCH3': 0}	{'RCOCl': 0, 'RCHO': 0, 'CH3I': 0, ':CCl2': 0, 'Bu3SnH': 0}	{'H2 / Ni': 2, 'H2 / Rh': 0, 'Zn / HCl': 2, 'Na / NH3': 2, 'LiAlH4': 0, 'NaBH4': 0}	{'KMnO4': 0, 'OsO4': 0, 'CrO3 / Py': 0, 'RCOOOH': 1, 'I2, Br2, Cl2': 2, 'MnO2 / CH2Cl2': 0}	O=Cc1ccccc1
diol_12_cyclohexanone	diol	[O;D2;x0;r5:1]1-;@[C;D4;x2;z1]2([C;D2;x0;z1][C;D2;x0;z1][C;D2;x0;z1][C;D2;x0;z1][C;D2;x0;z1]2)-[O;D2;x0:2][C:3]!#[C:4]1	[1,2,3,4]	[]	CC1COC2(CCCCC2)O1	CC(O)CO	[]	None	None	None	None	None	None	O=C1CCCCC1
diol_12_cyclopentanone	diol	[O;D2;x0;r5:1]1-;@[C;D4;x2;z1]2([C;D2;x0;z1][C;D2;x0;z1][C;D2;x0;z1][C;D2;x0;z1]2)-[O;D2;x0:2][C:3]!#[C:4]1	[1,2,3,4]	[]	CC1COC2(CCCC2)O1	CC(O)CO	[]	None	None	None	None	None	None	O=C1CCCC1
diol_12_diacetal	diol	[O;D2;x0;r6:1]1-;@[C;D4;x2;z1]([O;D2;x0][C;D1])([C;D1])[C;D4;x2;z1]([O;D2;x0][C;D1])([C;D1])-[O;D2;x0:2][C:3]!#[C:4]1	[1,2,3,4]	[]	COC1(C)OCC(C)OC1(C)OC	CC(O)CO	[]	None	None	None	None	None	None	COC(C)C(C)OC
diol_12_formalin	diol	[O;D2;x0;r5:1]1-;@[C;D2;x2;z1]-[O;D2;x0:2][C:3]!#[C:4]1	[1,2,3,4]	[]	CC1COCO1	CC(O)CO	[]	None	None	None	None	None	None	C=O
diol_13_acetone	diol	[O;D2;x0;r6:1]1-;@[C;D4;x2;z1]([C;D1])([C;D1])-[O;D2;x0:2][C:3][C:4]!#[C:5]1	[1,2,3,4,5]	[]	CC1CCOC(C)(C)O1	CC(O)CCO	[]	{'pH < 1, 100°C': 2, 'pH = 1, RT': 2, 'pH = 4, RT': 1, 'pH = 9, RT': 0, 'pH = 12, RT': 0, 'pH > 12, 100°C': 0}	{'LDA': 0, 'NEt3, Py': 0, 't-BuOK': 0, 'DCC': 0, 'SOCl2': 0}	{'RLi': 0, 'RMgX': 0, 'RCuLi': 0, 'Enolates': 0, 'NH3, RNH2': 0, 'NaOCH3': 0}	{'RCOCl': 0, 'RCHO': 0, 'CH3I': 0, ':CCl2': 0, 'Bu3SnH': 0}	{'H2 / Ni': 0, 'H2 / Rh': 0, 'Zn / HCl': 2, 'Na / NH3': 0, 'LiAlH4': 0, 'NaBH4': 0}	{'KMnO4': 0, 'OsO4': 0, 'CrO3 / Py': 0, 'RCOOOH': 0, 'I2, Br2, Cl2': 0, 'MnO2 / CH2Cl2': 0}	CC(=O)C
diol_13_benzylidene	diol	[O;D2;x0;r6:1]1-;@[C;D3;x2;z1]([C;a;r6]:2:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:2)-[O;D2;x0:2][C:3][C:4]!#[C:5]1	[1,2,3,4,5]	[]	CC1CCOC(O1)c1ccccc1	CC(O)CCO	[]	{'pH < 1, 100°C': 2, 'pH = 1, RT': 2, 'pH = 4, RT': 1, 'pH = 9, RT': 0, 'pH = 12, RT': 0, 'pH > 12, 100°C': 1}	{'LDA': 0, 'NEt3, Py': 0, 't-BuOK': 0, 'DCC': 0, 'SOCl2': 0}	{'RLi': 0, 'RMgX': 0, 'RCuLi': 0, 'Enolates': 0, 'NH3, RNH2': 0, 'NaOCH3': 0}	{'RCOCl': 0, 'RCHO': 0, 'CH3I': 0, ':CCl2': 0, 'Bu3SnH': 0}	{'H2 / Ni': 2, 'H2 / Rh': 0, 'Zn / HCl': 2, 'Na / NH3': 2, 'LiAlH4': 0, 'NaBH4': 0}	{'KMnO4': 0, 'OsO4': 0, 'CrO3 / Py': 0, 'RCOOOH': 1, 'I2, Br2, Cl2': 2, 'MnO2 / CH2Cl2': 0}	O=Cc1ccccc1
