rule_name	reaction_class	smarts	atoms_to_keep	atoms_to_add	protected_example	cleaved_example	decoys	h2o	bases	nucleophiles	electrophiles	reduction	oxidation	p_mol
hydroxyl_trifluoroethyl	hydroxyl	[O;D2:1]-;!@[C;D2;x1;z1][C;D4;x3;z1](F)(F)F	[1]	[]	CC(C)OCC(F)(F)F	CC(C)O	[]	None	None	None	None	None	None	O=S(=O)(OCC(F)(F)F)C(F)(F)F
hydroxyl_tritil	hydroxyl	[O;D2:1]-;!@[C;D4;z1;x1](-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:1)(-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:1)-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:1	[1]	[]	CC(C)OC(c1ccccc1)(c1ccccc1)c1ccccc1	CC(C)O	"[""COc1ccc(cc1)C(OC(C)C)(c1ccccc1)c1ccc(OC)cc1""]"	None	None	None	None	None	None	ClC(c1ccccc1)(c1ccccc1)c1ccccc1
hydroxyl_troc	hydroxyl	[O;D2:1]-;!@[C;z2;x3](=O)[O;D2;x0]-[C;D2][C;D4;x3]([Cl;D1])([Cl;D1])[Cl;D1]	[1]	[]	CC(C)OC(=O)OCC(Cl)(Cl)Cl	CC(C)O	[]	None	None	None	None	None	None	O=C(Cl)OCC(Cl)(Cl)Cl
thiol_amine_dimethoxybenzyl	thiol	[S;D2;r5;x0;z1:1]1[C:3][C:4][N;z1:2]-[C;D3;x2;z1]1-[C;a;r6]:1:[C;D3;x1]([O;D2;x0][C;D1]):[C;D2]:[C;D3;x1]([O;D2;x0][C;D1]):[C;D2]:[C;D2]:1	[1,2,3,4]	[]	COC1=CC=C(C2NC(C)CS2)C(OC)=C1	NC(C)CS	[]	None	None	None	None	None	None	ClCc1c(OC)cc(OC)cc1
thiol_benzyl	thiol	[S;D2;x0;z1:1]-;!@[C;D2;z1;x1]-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:1	[1]	[]	CC(C)SCc1ccccc1	CC(C)S	[]	None	None	None	None	None	None	BrCc1ccccc1
thiol_chloro_tritil	thiol	[S;D2;x0;z1:1]-;!@[C;D4;z1;x1](-[C;a;r6]:1:[C;D3;x1]([Cl;D1]):[C;D2]:[C;D2]:[C;D2]:[C;D2]:1)(-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:1)-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:1	[1]	[]	CC(C)SC(c1c(Cl)cccc1)(c1ccccc1)c1ccccc1	CC(C)S	[]	None	None	None	None	None	None	ClC(c1ccccc1Cl)(c1ccccc1)c1ccccc1
thiol_dimetoxy_tritil	thiol	[S;D2;x0;z1:1]-;!@[C;D4;z1;x1](-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D3;x1]([O;D2;x0][C;D1]):[C;D2]:[C;D2]:1)(-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D3;x1]([O;D2;x0][C;D1]):[C;D2]:[C;D2]:1)-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:1	[1]	[]	COc1ccc(cc1)C(SC(C)C)(c1ccccc1)c1ccc(OC)cc1	CC(C)S	[]	None	None	None	None	None	None	COc1ccc(C(Cl)(c2ccccc2)c2ccc(OC)cc2)cc1
thiol_mmt	thiol	[S;D2;x0;z1:1]-;!@[C;D4;z1;x1](-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D3;x1]([O;D2;x0][C;D1]):[C;D2]:[C;D2]:1)(-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:1)-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:1	[1]	[]	c1ccc(cc1)C(SC(C)C)(c1ccccc1)c1ccc(OC)cc1	CC(C)S	[]	None	None	None	None	None	None	COc1ccc(C(Cl)(c2ccccc2)c2ccccc2)cc1
thiol_stbu	thiol	[S;D2;x1;z1:1]-;!@[S;D2;z1;x1]-[C;D4;x1;z1]([C;D1])([C;D1])[C;D1]	[1]	[]	CC(C)SSC(C)(C)C	CC(C)S	[]	None	None	None	None	None	None	CC(C)(C)SCl
thiol_strimethoxyphenyl	thiol	[S;D2;x1;z1:1]-;!@[S;D2;z1;x1]-[C;a;r6]:1:[C;D3;x1]([O;D2;x0][C;D1]):[C;D2]:[C;D3;x1]([O;D2;x0][C;D1]):[C;D2]:[C;D3;x1]:1[O;D2;x0][C;D1]	[1]	[]	COc1cc(OC)c(SSC(C)C)c(OC)c1	CC(C)S	[]	None	None	None	None	None	None	COc1cc(OC)c(SCl)c(OC)c1
thiol_tbu	thiol	[S;D2;x0;z1:1]-;!@[C;D4;x1;z1]([C;D1])([C;D1])[C;D1]	[1]	[]	CC(C)SC(C)(C)C	CC(C)S	[]	None	None	None	None	None	None	CC(C)(C)Cl
thiol_tritil	thiol	[S;D2;x0;z1:1]-;!@[C;D4;z1;x1](-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:1)(-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:1)-[C;a;r6]:1:[C;D2]:[C;D2]:[C;D2]:[C;D2]:[C;D2]:1	[1]	[]	CC(C)SC(c1ccccc1)(c1ccccc1)c1ccccc1	CC(C)S	[]	None	None	None	None	None	None	ClC(c1ccccc1)(c1ccccc1)c1ccccc1
